id,em portugues,en español
5810,Realizadores,Realizadores
5812,Material de Divulgação,Material de Divulgación
5814,Notícias,Noticias
5816,Prêmio PCS,Premio PCS
5818,Desenvolvido por,Desarrollado por
5820,Parceiros,Socios/ aliados
5822,Conecte-se,Conéctese
5824,Todo o conteúdo do site é licenciado sob a,Todo el contenido del sitio está licenciado bajo la
5928,Editar,Editar
5964,Informe o Período,Informe el Período
5966,Número total de pessoas infectadas com dengue,Número total de personas infectadas por dengue
5994,Meta,Meta
6000,Justificativa,Justificación
6212,Número total de alunos com 2 anos ou mais de defasagem em relação a idade ideal no ensino médio,Número total de alumnos con 2 años o más de desfasaje con relación a la edad ideal en la enseñanza secundaria
6214,Número total de alunos com dois anos ou mais de defasagem em relação à idade ideal no ensino fundamental na rede privada,Número total de alumnos con dos años o más de desfasaje con relación a la edad ideal en la enseñanza primaria en la red privada
6216,Número total de alunos com dois anos ou mais de defasagem em relação à idade ideal no ensino fundamental total,Número total de alumnos con dos años o más de desfasaje con relación a la edad ideal en la enseñanza primaria total
6326,Número total de indivíduos em situação de rua,Número total de individuos en situación de vida en la calle
6526,População rural,Población rural
5826,Observações do Indicador,Observaciones del Indicador
5828,Informação Técnica,Información Técnica
5838,Informe a Região e o Período,Informe la Región y el Período
5844,Fórmula,Fórmula
5850,Período,Período
5856,População total,Población total
5858,Número total de indivíduos residentes em favelas,Número total de individuos residentes en barrios de emergencia
6006,Máximo,Máximo
6008,Mínimo,Mínimo
6010,Desigualdade,Desigualdad
6016,Descontados distritos cujo valor é zero,Descontados distritos cuyo valor es cero
6218,Número total de alunos com dois anos ou mais de defasagem em relação à idade ideal no ensino médio na rede privada,Número total de alumnos con dos años o más de desfasaje con relación a la edad ideal en la enseñanza secundaria en la red privada
6220,Número total de alunos com dois anos ou mais de defasagem em relação à idade ideal no ensino médio total,Número total de alumnos con dos años o más de desfasaje con relación a la edad ideal en la enseñanza secundaria total
6222,Número total de alunos matriculados na rede pública,Número total de alumnos matriculados en la red pública
6224,Número total de alunos no ensino fundamental  na rede privada,Número total de alumnos en la enseñanza primaria en la red privada
6226,Número total de alunos no ensino fundamental  na rede pública,Número total de alumnos en la enseñanza primaria en la red pública
6228,Número total de alunos no ensino fundamental  na rede pública e privada,Número total de alumnos en la enseñanza primaria en la red pública y privada
6230,Número total de alunos no ensino fundamental na rede privada,Número total de alumnos en la enseñanza primaria en la red privada
6232,Número total de alunos no ensino fundamental total,Número total de alumnos en la enseñanza primaria total
6234,Número total de alunos no ensino médio na rede privada,Número total de alumnos en la enseñanza secundaria en la red privada
6236,Número total de alunos no ensino médio total,Número total de alumnos en la enseñanza secundaria total
6238,Número total de alunos no turno intermediário,Número total de alumnos en el turno intermedio
6240,Número total de alunos que abandonaram o ensino fundamental na rede privada,Número total de alumnos que abandonaron la enseñanza primaria en la red privada
6242,Número total de alunos que abandonaram o ensino fundamental na rede pública,Número total de alumnos que abandonaron la enseñanza primaria en la red pública
5860,Customizar CSS,Customizar CSS
5862,Arquivo CSS,Archivo CSS
6015,Alta / Melhor,Alta / Mejor
6018,Acima da média,Por encima de la media
6020,Média,Media
6022,Abaixo da média,Debajo de la media
6024,Baixa / Pior,Baja / Peor
6026,Média com base na soma dos números das,Media con base en la suma de los números de las
6030,Classificação,Clasificación
6244,Número total de alunos que abandonaram o ensino fundamental na rede pública e privada,Número total de alumnos que abandonaron la enseñanza primaria en la red pública y privada
6246,Número total de alunos que abandonaram o ensino médio na rede privada,Número total de alumnos que abandonaron la enseñanza secundaria en la red privada
6248,Número total de alunos que abandonaram o ensino médio na rede pública,Número total de alumnos que abandonaron la enseñanza secundaria en la red pública
6250,Número total de alunos que abandonaram o ensino médio total,Número total de alumnos que abandonaron la enseñanza secundaria total
6252,Número total de alunos reprovados no ensino fundamental na rede pública,Número total de alumnos reprobados en la enseñanza primaria en la red pública
6254,Número total de alunos reprovados no ensino fundamental total,Número total de alumnos reprobados en la enseñanza primaria total
6256,Número total de alunos reprovados no ensino médio na rede privada,Número total de alumnos reprobados en la enseñanza secundaria en la red privada
6258,Número total de alunos reprovados no ensino médio na rede pública,Número total de alumnos reprobados en la enseñanza secundaria en la red pública
6260,Número total de alunos reprovados no ensino médio total,Número total de alumnos reprobados en la enseñanza secundaria total
6262,Número total de atos infracionais ocorridos no município,Número total de actos de infracción ocurridos en el municipio
6264,Número total de atos infracionais praticados por pessoas na faixa etária de 15 a 18 anos,Número total de actos de infracción practicados por personas con edades entre 15 y 18 años
6266,Número total de atropelamentos,Número total de atropellamientos
6268,"Número total de casos de roubo, extorsão mediante sequestro e roubo/extorsão com restrição de liberdade da vítima","Número total de casos de robos, extorsión mediante secuestro y robo/extorsión con restricción de la libertad de la víctima"
6270,Número total de catadores,Número total de recolectores
6272,Número total de classes de escolas públicas com mais de 35 anos,Número total de clases de escuelas públicas de más de 35 años
6274,Número total de crianças com baixo peso ao nascer,Número total de niños con bajo peso al nacer
6276,Número total de crianças de 4 a 5 anos matriculadas em pré-escolas na rede pública e particular,Número total de niños de 4 a 5 años matriculados en pre escuelas en la red pública y particular
6524,População na faixa etária de 7 a 14 anos,Población con edades entre 7 y 14 años
5866,Cadastrar,Registrar
5874,Url,Url
5878,Descrição,Descripción
5882,Objetivos,Objetivos
5886,Cronograma,Cronograma
5890,Resultados,Resultados
5894,Instituições envolvidas,Instituciones incluidas
5898,Contatos,Contactos
5904,Tags,Tags
5908,Título,Título
5916,Menu Pai,Menú Padre
5920,Posição,Posición
5924,Página,Página
6032,Subprefeitura,Sub alcaldía
6034,Fator de desigualdade,Factor de desigualdad
6036,Período,Período
6038,Clique aqui para saber mais sobre o Iota,Clique aquí para saber más sobre el Iota
6278,Número total de crianças e adolescentes em abrigos,Número total de niños y adolescentes en albergues
6280,Número total de crianças e adolescentes reintegradas no convívio familiar,Número total de niños y adolescentes reintegrados a la convivencia familiar
6282,Número total de crianças menores de 5 anos desnutridas,Número total de niños menores de 5 años desnutridos
6284,Número total de crimes sexuais,Número total de delitos sexuales
6286,Número total de domicílios com renda per capita até meio salário mínimo,Número total de domicilios con renta per cápita de hasta medio salario mínimo
6288,Número total de domicílios com renda per capita até um quarto de salário mínimo,Número total de domicilios con renta per cápita de hasta un cuarto de salario mínimo
6290,Número total de domicílios da região urbana que são atendidos pelo abastecimento público de água potável,Número total de domicilios de la región urbana que son atendidos por el servicio público de agua potable
6292,Número total de domicílios do município,Número total de domicilios del municipio
6294,Número total de domicílios em cortiços na região,Número total de domicilios en conventillos en la región
5934,Indicadores separados por eixos,Indicadores separados por ejes
6042,População com 15 anos ou mais,Población de 15 años o más
6044,Número total de livros para adultos disponíveis em bibliotecas municipais,Número total de libros para adultos disponibles en bibliotecas municipales
6155,Número de domicílios do município,Número de domicilios del municipio
6158,Número total de domicílios com renda per capita até meio salário mínimo,Número total de domicilios con renta per cápita de hasta medio salario mínimo
6296,Número total de domicílios em favelas na região,Número total de domicilios en barrios de emergencia en la región
6298,Número total de domicílios que compõe o déficit habitacional na região,Número total de domicilios que componen el déficit habitacional en la región
6300,Número total de domicílios sem coleta de lixo,Número total de domicilios sin recolección de basura
6302,Número total de edifícios novos e projetos de reforma,Número total de edificios nuevos y proyectos de reforma
6304,Número total de empregos da cidade,Número total de empleos de la ciudad
6306,Número total de empregos da região,Número total de empleos de la región
6308,"Número total de energia, em kwh, consumida pelo município","Número total de energía, en kwh, consumida por el municipio"
6310,Número total de equipamentos culturais públicos da cidade,Número total de equipamientos culturales públicos de la ciudad
6312,Número total de equipamentos culturais públicos na região,Número total de equipamientos culturales públicos en la región
6314,Número total de equipamentos esportivos públicos,Número total de equipamientos deportivos públicos
6316,Número total de escolas,Número total de escuelas
6318,Número total de escolas públicas,Número total de escuelas públicas
6320,Número total de escolas que mantêm classes no turno intermediário,Número total de escuelas que mantienen clases en el  turno intermedio
6322,Número total de famílias que recebem recursos dos programas de transferência de renda,Número total de familias que reciben recursos de los programas de transferencia de renta
6324,Número total de famílias que solicitam recursos dos programas de transferência de renda existentes ,Número total de familias que solicitan recursos de los programas de transferencia de renta existentes
5936,Carregando mais informações,Cargando más información
5938,Série Histórica de,Serie Histórica de
5940,comparar com outras cidades,comparar con otras ciudades
5942,Baixar,Bajar
6066,Importar valores,Importar valores
6068,"Arquivo (XLSX, XLS ou CSV)","Archivo (XLSX, XLS o CSV)"
6070, Média anual diária de concentrações de NO2, Media anual diaria de concentraciones de NO2
6072,Área de cobertura vegetal,Área de cobertura vegetal
6074,Área total do município em quilômetros quadrados (km²),Área total del municipio en kilómetros cuadrados (km²)
6076,Com quanto tempo de antecedência são convocadas as reuniões?,¿Con cuánto tiempo de antelación se convocan las reuniones?
6078,"Consumo Interno Bruto de Energia (carvão, eletricidade, petróleo, gás natural e fontes de energia renovável – disponíveis para consumo) ","Consumo Interno Bruto de Energía (carbón, electricidad, petróleo, gas natural y fuentes de energía renovable – disponibles para el consumo) "
14303,Boas práticas,Buenas prácticas
6080,"Consumo total de água (residencial, comercial, público, industrial e misto) em m³ no ano","Consumo total de agua (residencial, comercial, público, industrial y mixto) en m³ por año"
6082,Expectativa de Vida: Esperança de vida ao nascer,Expectativa de Vida: Esperanza de vida al nacer
6084,Extensão total de quilômetros de vias,Extensión total de kilómetros de vías
6086,Índice de Desenvolvimento da Educação Básica (IDEB) - Rede municipal de 1ª a 4ª série,Índice de Desarrollo la Educación Básica (IDEB) - Red municipal del 1º al 4º grado
6088,Índice de Desenvolvimento Humano (IDH) Municipal,Índice de Desarrollo Humano (IDH) Municipal
6090,Índice de Gini,Índice de Gini
6092,Listar os espaços de participação deliberativos que existem na cidade,Listar los espacios de participación deliberativos que existen en la ciudad
6094,Média anual diária de concentração de PM10,Media anual diaria de concentración de PM10
6096,Média anual diária de concentrações de CO,Media anual diaria de concentraciones de CO
6098,Media anual diária de concentrações de O3,Media anual diaria de concentraciones de O3
6100,"Média anual diária de concentrações de PM2,5","Media anual diaria de concentraciones de PM2,5"
6102,Media anual diária de concentrações de SO2,Media anual diaria de concentraciones de SO2
6104,"Média anual dos congestionamentos nos dias úteis, em km, nos horários de pico","Media anual de los congestionamientos en los días hábiles, en km, durante los horarios pico"
6106,"Média aritmética mensal (dos dias úteis) dos congestionamentos, em km, nos horários de pico (manhã)","Media aritmética mensual (de los días hábiles) de los congestionamientos, en km, durante los horarios pico (mañana)"
5944,Fonte da meta,Fuente de la meta
6108,"Média aritmética mensal (dos dias úteis) dos congestionamentos, em km, nos horários de pico (tarde)","Media aritmética mensual (de los días hábiles) de los congestionamientos, en km, durante los horarios pico (tarde)"
6110,Nota do Índice de Desenvolvimento da Educação Básica (IDEB) - Rede municipal de 5ª a 8ª série do município.,Nota del Índice de Desarrollo de la Educación Básica (IDEB) - Red municipal del 5º al  8º grado del municipio.
6112,Nota média do Exame Nacional de Ensino Médio,Nota media del Examen Nacional de Enseñanza Media
6114,Número de analfabetos com 16 anos ou mais,Número de analfabetos de 16 años o más
6116,Número de aprendizes contratados,Número de aprendices contratados
6118,Número de atividades culturais promovidas pelo setor público,Número de actividades culturales promovidas por el sector público
6120,Número de catadores incluídos no sistema de coleta seletiva,Número de recolectores incluidos en el  sistema de recolección selectiva
6122,"Número de centros culturais, espaços e casas de cultura","Número de centros culturales, espacios y casas de cultura"
6124,Número de crianças que já haviam passado por abrigos,Número de niños que ya habían pasado por albergues
6126,Número de crianças que tiveram que ser abrigada novamente,Número de niños que tuvieron que ser albergados nuevamente
6128,Número de crimes violentos fatais,Número de delitos violentos fatales
6130,Número de crimes violentos não fatais,Número de delitos violentos no fatales
6132,Número de domicílios com acesso a internet banda larga,Número de domicilios con acceso a Internet de banda ancha
6134,Número de domicílios com coleta seletiva de lixo,Número de domicilios con recolección selectiva de basura
6136,Número de domicílios do município,Número de domicilios del municipio
6138,Número de domicílios sem ligação de rede de esgoto,Número de domicilios sin conexión de red de desagües
6140,Número de educadores desportivos,Número de educadores deportivos
6142,Número de escolas pública de ensino fundamental e médio,Número de escuelas públicas de enseñanza primaria y secundaria
6144,Número de escolas públicas com Esporte educacional no turno obrigatório,Número de escuelas públicas con deporte educacional en el  turno obligatorio
6146,Número de escolas públicas de ensino fundamental e médio com acesso à internet,Número de escuelas públicas de enseñanza primaria y secundaria con acceso a Internet
6148,Número de famílias beneficiadas por programas habitacionais,Número de familias beneficiadas por programas habitacionales
6150,Número de internações na rede pública por infecção respiratória aguda em crianças de 0 a 4 anos,Número de internaciones en la red pública por infección respiratoria aguda en niños de 0 a 4 años
6152,Número de livros infanto-juvenis disponíveis em acervos de bibliotecas ,Número de libros infanto-juveniles disponibles en acervos de bibliotecas
4998,Preferências,Preferencias
5000,Menus,Menús
5004,Páginas,Páginas
5014,Customização,Customización
5018,Boas Práticas,Buenas Prácticas
5024,Conteúdo,Contenido
5026,Variáveis Básicas,Variables Básicas
5030,Editar/Importar Valores,Editar/Importar Valores
5034,Clonar Valores,Clonar Valores
5040,Variáveis,Variables
5042,Editar Indicadores,Editar Indicadores
5046,Grupos de Indicadores,Grupos de Indicadores
5052,Indicadores,Indicadores
5054,Cadastro,Registro
5058,Definir Regiões no Mapa,Definir Regiones en el  Mapa
5064,Regiões,Regiones
5068,Sair,Salir
5072,Adicionar,Agregar
5074,Acessibilidade,Accesibilidad
5076,Calçadas consideradas adequadas às exigências legais,Aceras consideradas adecuadas para las exigencias legales
5082,Frota de ônibus com acessibilidade para pessoas com deficiência,Flota de autobuses con accesibilidad para personas con deficiencias
5084,Assistência social,Asistencia social
5086,Percentual de reabrigamento,Porcentaje de re albergue
5088,População em situação de rua,Población en situación de vida en la calle
5090,População em situação de rua - acolhidos*,Población en situación de vida en la calle - acogidos*
5092,Reintegração de abrigados,Reintegración de albergados
5094,Repasses de convênio,Transferencias de convenios
5096,Vagas para atendimento,Vacantes para atención
5098,Cultura,Cultura
5100,Acervo de livros infanto-juvenis,Acervo de libros infanto-juveniles
5102,Acervo de livros para adultos,Acervo de libros para adultos
5104,Atividades culturais,Actividades culturales
5106,Campanhas de educação cidadã,Campañas de educación ciudadana
5108,"Centros culturais, casas e espaços de cultura","Centros culturales, casas y espacios de cultura"
5110,Cinemas,Cines
5112,Equipamentos culturais públicos,Equipamientos culturales públicos
5114,Frequência de público,Frecuencia de público
5116,Museus,Museos
5118,Pontos de cultura,Puntos de cultura
5120,Salas de show e concerto,Salas de shows y conciertos
5122,Teatros,Teatros
5124,Educação ensino fundamental,Educación enseñanza primaria
5126,Superlotação escolar na rede pública,Exceso de alumnos en la red pública
5128,Taxa de analfabetismo na população com 15 anos ou mais,Tasa de analfabetismo en la población de 15 años o más
5130,Três turnos diurnos na rede pública,Tres turnos diurnos en la red pública
5132,Abandono no ensino fundamental na rede privada,Abandono de la enseñanza primaria en la red privada
5134,Abandono no ensino fundamental na rede pública,Abandono de la enseñanza primaria en la red pública
5136,Abandono no ensino fundamental total,Abandono de la enseñanza primaria total
5138,Acesso a internet nas escolas do ensino fundamental e médio,Acceso a Internet en las escuelas de la enseñanza primaria y secundaria
5140,Alunos em turno intermediário diurno na rede pública,Alumnos en turno intermedio diurno en la red pública
5142,Crianças e jovens de 4 a 17 anos na escola,Niños y jóvenes de 4 a 17 años en la escuela
5144,Crianças plenamente alfabetizadas até os 8 anos,Niños plenamente alfabetizados hasta los 8 años
5146,Demanda atendida de vagas no ensino fundamental,Demanda atendida de vacantes en la enseñanza primaria
5148,Distorção de idade no ensino fundamental na rede pública,Distorsión de edad en la enseñanza primaria en la red pública
5150,Distorção idade/série no ensino fundamental na rede privada,Distorsión edad/grado en la enseñanza primaria en la red privada
5152,Distorção idade/série no ensino fundamental total,Distorsión edad/grado en la enseñanza primaria total
5154,Escolas públicas com Esporte educacional no turno obrigatório,Escuelas públicas con deporte educacional en el turno obligatorio
5156,Índice de Desenvolvimento da Educação Básica (Ideb*) - Rede municipal de 1ª a 4ª série,Índice de Desarrollo de la Educación Básica (Ideb*) - Red municipal del 1º al 4º grado
5158,Índice de Desenvolvimento da Educação Básica (Ideb*) - Rede municipal de 5ª a 8ª série,Índice de Desarrollo de la Educación Básica (Ideb*) - Red municipal del 5º al 8º grado
5160,Remoção de professores na rede pública,Remoción de profesores en la red pública
5162,Reprovação no ensino fundamental na rede privada,Reprobación en la enseñanza primaria en la red privada
5164,Reprovação no ensino fundamental na rede pública,Reprobación en la enseñanza primaria en la red pública
5166,Reprovação no ensino fundamental total,Reprobación en la enseñanza primaria total
5168,Educação ensino superior,Educación enseñanza superior
5170,Abandono no ensino médio na rede pública,Abandono en la enseñanza secundaria en la red pública
5172,Abandono no ensino médio total,Abandono en la enseñanza secundaria total
5174,Abandono do ensino médio na rede privada,Abandono de la enseñanza secundaria en la red privada
5176,Demanda atendida de vagas no ensino médio,Demanda atendida de vacantes en la enseñanza secundaria
5178,Distorção de idade no ensino médio na rede pública,Distorsión de edad en la enseñanza secundaria en la red pública
5180,Distorção idade/série no ensino médio na rede privada,Distorsión edad/grado en la enseñanza secundaria en la red privada
5182,Distorção idade/série no ensino médio total,Distorsión edad/grado en la enseñanza secundaria total
5184,Jovens com ensino médio concluído até os 19 anos,Jóvenes con enseñanza secundaria concluida hasta los 19 años
5186,Nota do Exame Nacional do Ensino Médio (ENEM*),Nota del Examen Nacional del Enseñanza Media (ENEM*)
5188,Remoção de professores no ensino médio na rede pública,Remoción de profesores en la enseñanza secundaria en la red pública
5190,Reprovação no ensino médio na rede privada,Reprobación en la enseñanza secundaria en la red privada
5192,Reprovação no ensino médio na rede pública,Reprobación en la enseñanza secundaria en la red pública
5194,Reprovação no ensino médio total,Reprobación en la enseñanza secundaria total
5196,Ensino superior concluído,Enseñanza superior concluida
5198,Matrículas em curso superior sobre a demanda,Matrículas en curso superior sobre la  demanda
5200,Educação infantil,Educación infantil
5202,Atendimento nas creches municipais,Atención en los jardines de infantes/guarderías municipales
5204,Atendimento nas pré-escolas municipais,Atención en las pre escuelas municipales
5206,Demanda atendida de vagas em pré-escolas municipais,Demanda atendida de vacantes en pre escuelas municipales
5208,Demanda atendida em creches,Demanda atendida em guarderías/ jardines de infantes
5210,Remoção de professores do ensino infantil,Remoción de profesores de la enseñanza infantil
5212,Esporte,Deporte
5214,Educadores desportivos,Educadores deportivos
5216,Equipamentos esportivos,Equipamientos deportivos
5218,Unidades esportivas,Unidades deportivas
5220,Vagas oferecidas,Vacantes ofrecidas
5222,Gênero,Género
5224,Agressão a mulheres,Agresión a mujeres
5226,Mulheres empregadas no governo do município,Mujeres empleadas en el  gobierno del municipio
5228,Habitação,Vivienda
5230,Cortiços,Conventillos
5232,Famílias atendidas,Familias atendidas
5234,Favelas,Barrios de emergencia/ Chabolas
5236,Percentual da população urbana que reside em favelas,Porcentaje de la población urbana que reside en barrios de emergencia/chabolas
5238,Outorga onerosa,Concesión onerosa
5240,Taxa de atendimento de domicílios que compõem o déficit habitacional,Tasa de atención de domicilios que componen el déficit habitacional
5242,Unidades habitacionais construídas,Unidades habitacionales construidas
5244,Igualdade racial,Igualdad racial
5246,Negros empregados no governo do município,Negros empleados en el  gobierno del municipio
5248,Relação pré-natal insuficiente negros x não negros,Relación prenatal insuficiente negros x no negros
5250,Inclusão digital,Inclusión digital
5252,Domicílios com acesso à internet de banda larga,Domicilios con acceso a Internet de banda ancha
5254,Telecentros,Telecentros
5256,Infância e adolescência,Infancia y adolescencia
5258,Agressão a crianças e adolescente,Agresión a niños y adolescentes
5260,Gravidez na adolescência,Embarazo en la adolescencia
5262,Juventude,Juventud
5264,Adolescentes envolvidos em ato infracional,Adolescentes involucrados en actos de infracción
5266,Aprendizes contratados no município,Aprendices contratados en el  municipio
5268,Desemprego de jovens,Desempleo de jóvenes
5270,Homicídio juvenil,Homicidio juvenil
5272,Meio ambiente,Medio ambiente
5274,Abastecimento público de água potável na área urbana,Abastecimiento público de agua potable en el área urbana
5276,Área desmatada,Área deforestada
5278,Área verde por habitante,Área verde por habitante
5280,Áreas verdes,Áreas verdes
5282,Cobertura vegetal,Cobertura vegetal
5284,Coleta seletiva,Recolección selectiva
5286,Inclusão de catadores no sistema de coleta seletiva,Inclusión de recolectores en el sistema de recolección selectiva
5288,Compras Públicas Sustentáveis,Compras Públicas Sustentables
5290,Concentrações de monóxido de carbono (CO),Concentraciones de monóxido de carbono (CO)
5292,Concentrações de NO2 (dióxido de nitrogênio),Concentraciones de NO2 (dióxido de nitrógeno)
5294,Concentrações de O3 (ozônio),Concentraciones de O3 (ozono)
5296,Concentrações de PM10* (material particulado – MP),Concentraciones de PM10* (material particulado – MP)
5298,"Concentrações de PM2,5*","Concentraciones de PM2,5*"
5300,Concentrações de SO2 (dióxido de enxofre),Concentraciones de SO2 (dióxido de azufre)
5368,Desnutrição infantil,Desnutrición infantil
5302,Consumo de energia produzida por fontes renováveis,Consumo de energía producida por fuentes renovables
5304,Consumo total de água,Consumo total de agua
5306,Consumo total de eletricidade per capita,Consumo total de electricidad per cápita
5308,Edifícios novos e reformados que têm certificação de sustentabilidade ambiental,Edificios nuevos y reformados que tienen certificación de sustentabilidad ambiental
5310,Eficiência energética da economia,Eficiencia energética de la economía
5312,Esgoto que não recebe nenhum tipo de tratamento,Desagües que no reciben ningún tipo de tratamiento
5314,Número de mortes por desastres socioambientais,Número de muertes por desastres socio-ambientales
5316,Perda de água tratada,Pérdida de agua tratada
5318,Quantidade de resíduos per capita,Cantidad de residuos per cápita
5320,Reciclagem de resíduos sólidos,Reciclaje de residuos sólidos
5322,Resíduos depositados em aterros sanitários,Residuos depositados en terraplenes sanitarios
5324,Temperatura média mensal,Temperatura media mensual
5326,Total de emissões de CO2 equivalente per capita,Total de emisiones de CO2 equivalente per cápita
5328,Orçamento,Presupuesto
5330,Atualização orçamentária do município,Actualización presupuestaria del municipio
5332,Atualização orçamentária nas secretarias,Actualización presupuestaria en las secretarías
